Date;Champ;Nomenclature;Code NAF;Libellé NAF;Type de données;Nombre d'emplois vacants;Taux d'emplois vacants (en %)
2003-T2;Plus de 10 salariés;A1 - Ensemble;BTS;Ensemble des secteurs (sections B à S de la Naf sauf administration publique);Brutes;59135.0;0.44
2003-T2;Plus de 10 salariés;A1 - Ensemble;BTS;Ensemble des secteurs (sections B à S de la Naf sauf administration publique);Brutes;59138.0;0.44
2003-T2;Plus de 10 salariés;A21;B;Industries extractives (section B de la Naf);Brutes;38.0;0.15
2003-T2;Plus de 10 salariés;A21;C;Industrie manufacturière (section C de la Naf);Brutes;9440.0;0.3
2003-T2;Plus de 10 salariés;A21;C;Industrie manufacturière (section C de la Naf);Brutes;9441.0;0.3
2003-T2;Plus de 10 salariés;A21;D;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné (section D de la Naf);Brutes;33.0;0.02
2003-T2;Plus de 10 salariés;A21;E;"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution (section E de la Naf)";Brutes;223.0;0.18
2003-T2;Plus de 10 salariés;A21;F;Construction (section F de la Naf);Brutes;8952.0;1.03
2003-T2;Plus de 10 salariés;A21;F;Construction (section F de la Naf);Brutes;8954.0;1.03
2003-T2;Plus de 10 salariés;A21;G;"Commerce ; réparation d'automobiles et de motocycles (section G de la Naf)";Brutes;3268.0;0.14
2003-T2;Plus de 10 salariés;A21;H;Transports et entreposage (section H de la Naf);Brutes;2606.0;0.2
2003-T2;Plus de 10 salariés;A21;I;Hébergement et restauration (section I de la Naf);Brutes;3448.0;0.6
2003-T2;Plus de 10 salariés;A21;I;Hébergement et restauration (section I de la Naf);Brutes;3447.0;0.6
2003-T2;Plus de 10 salariés;A21;J;Information et communication (section J de la Naf);Brutes;1992.0;0.32
2003-T2;Plus de 10 salariés;A21;K;Activités financières et d'assurance (section K de la Naf);Brutes;4594.0;0.75
2003-T2;Plus de 10 salariés;A21;L;Activités immobilières (section L de la Naf);Brutes;124.0;0.09
2003-T2;Plus de 10 salariés;A21;M;Activités spécialisées, scientifiques et techniques (section M de la Naf);Brutes;2409.0;0.29
2003-T2;Plus de 10 salariés;A21;M;Activités spécialisées, scientifiques et techniques (section M de la Naf);Brutes;2407.0;0.29
2003-T2;Plus de 10 salariés;A21;N;Activités de services administratifs et de soutien (section N de la Naf);Brutes;2583.0;0.29
2003-T2;Plus de 10 salariés;A21;P;Enseignement (section P de la Naf);Brutes;2451.0;1.0
2003-T2;Plus de 10 salariés;A21;P;Enseignement (section P de la Naf);Brutes;2452.0;1.0
2003-T2;Plus de 10 salariés;A21;Q;Santé humaine et action sociale (section Q de la Naf);Brutes;14729.0;1.23
2003-T2;Plus de 10 salariés;A21;Q;Santé humaine et action sociale (section Q de la Naf);Brutes;14724.0;1.23
2003-T2;Plus de 10 salariés;A21;R;Arts, spectacles et activités récréatives (section R de la Naf);Brutes;917.0;0.6
2003-T2;Plus de 10 salariés;A21;S;Autres activités de services (section S de la Naf);Brutes;1331.0;0.48
2003-T2;Plus de 10 salariés;A21;S;Autres activités de services (section S de la Naf);Brutes;1329.0;0.48
2003-T2;Plus de 10 salariés;A4;Construction;Construction;Brutes;8952.0;1.03
2003-T2;Plus de 10 salariés;A4;Construction;Construction;Brutes;8954.0;1.03
2003-T2;Plus de 10 salariés;A4;Industrie;Industrie;Brutes;9735.0;0.28
2003-T2;Plus de 10 salariés;A4;Tertiaire marchand;Tertiaire marchand;Brutes;23271.0;0.3
2003-T2;Plus de 10 salariés;A4;Tertiaire marchand;Tertiaire marchand;Brutes;23269.0;0.3
2003-T2;Plus de 10 salariés;A4;Tertiaire non-marchand;Tertiaire non marchand;Brutes;17176.0;1.19
2003-T2;Plus de 10 salariés;A4;Tertiaire non-marchand;Tertiaire non marchand;Brutes;17181.0;1.19
2003-T3;Plus de 10 salariés;A1 - Ensemble;BTS;Ensemble des secteurs (sections B à S de la Naf sauf administration publique);Brutes;58848.0;0.44
2003-T3;Plus de 10 salariés;A1 - Ensemble;BTS;Ensemble des secteurs (sections B à S de la Naf sauf administration publique);Brutes;58851.0;0.44
2003-T3;Plus de 10 salariés;A21;B;Industries extractives (section B de la Naf);Brutes;47.0;0.19
2003-T3;Plus de 10 salariés;A21;C;Industrie manufacturière (section C de la Naf);Brutes;8310.0;0.26
2003-T3;Plus de 10 salariés;A21;D;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné (section D de la Naf);Brutes;28.0;0.02
2003-T3;Plus de 10 salariés;A21;E;"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution (section E de la Naf)";Brutes;196.0;0.16
2003-T3;Plus de 10 salariés;A21;F;Construction (section F de la Naf);Brutes;9057.0;1.04
2003-T3;Plus de 10 salariés;A21;F;Construction (section F de la Naf);Brutes;9055.0;1.04
2003-T3;Plus de 10 salariés;A21;G;"Commerce ; réparation d'automobiles et de motocycles (section G de la Naf)";Brutes;9133.0;0.4
2003-T3;Plus de 10 salariés;A21;G;"Commerce ; réparation d'automobiles et de motocycles (section G de la Naf)";Brutes;9134.0;0.4
2003-T3;Plus de 10 salariés;A21;H;Transports et entreposage (section H de la Naf);Brutes;3446.0;0.27
2003-T3;Plus de 10 salariés;A21;I;Hébergement et restauration (section I de la Naf);Brutes;3661.0;0.62
2003-T3;Plus de 10 salariés;A21;I;Hébergement et restauration (section I de la Naf);Brutes;3662.0;0.62
2003-T3;Plus de 10 salariés;A21;J;Information et communication (section J de la Naf);Brutes;1570.0;0.26
