insee,chom2007,chom2008,chom2009,txchom2009,chom2010,txchom2010,chom2011,txchom2011,chom2012,chom2013,chom2014,chom2015,objectid,chom2006,chom99,chom90,chom82,chom75,chom2016,chom2017,chom2018,communeeng,chom2019,chom2020
75101,927.63,889.23,926.91,8.558144,903.4,8.432245,978.39,9.09,979.67,963.33,955.42,983.64,1,898,1040,954,754,669,994.22,997.47,957.89,1,939.85,903.18
75102,1485.64,1417.77,1462.5,10.166547,1547.59,10.475503,1664.02,11.3,1631.75,1564.33,1552.18,1536.95,2,1574,1590,1355,1071,1003,1444.27,1394.11,1378.93,2,1378.71,1325.98
75103,2120.23,2061.63,2228.87,10.053552,2379.31,10.601561,2562.06,11.28,2459.19,2420.84,2331.11,2299.64,3,2108,2347,1889,1830,1386,2285.23,2177.22,2080.32,3,2076.84,1998.81
75104,1757.3,1714.91,1633.66,9.947003,1688.42,10.247127,1807.02,11.06,1695.97,1646.33,1613.06,1614.92,4,1768,1747,1495,1394,1220,1656.84,1723.29,1831.82,4,1861.9,1883.34
75105,2768.32,2716.43,2748.21,8.593484,2854.23,8.996471,3115.99,9.7,3031.49,3116.2,3037.73,3051.59,5,2746,2523,2257,2175,1680,2886.87,2816.31,2644.38,5,2624.59,2466.11
75106,1777.68,1764.88,1775.51,8.286809,1853.68,8.604359,1979.43,9.05,1894.15,1919.56,1985.08,2001.34,6,1718,1758,1492,1492,1180,1946.85,1924.55,1842.13,6,1836.46,1683.72
75107,2378.74,2317.19,2433.91,8.301126,2472.92,8.317017,2702.91,9.09,2673.33,2657.12,2650.44,2699.05,7,2477,2205,1956,1995,1525,2500.5,2418.37,2237.79,7,2173.68,1973.55
75108,1688.56,1615.73,1728.41,8.080779,1751.18,7.970519,1809.52,8.32,1652.47,1787.74,1707.42,1687.19,8,1736,1737,1342,1559,1180,1750.83,1740.02,1589.16,8,1555.62,1561.37
75109,3464.79,3387.62,3410,9.386353,3470.12,9.509792,3593.08,9.83,3630.17,3623.25,3557.56,3571.68,9,3567,3450,2941,2764,1965,3588.39,3510.57,3464.26,9,3479.41,3405.48
75110,7181.43,7372.93,7520.15,12.880647,7326.21,12.5695,7451.6,12.99,7202.75,6962.11,6843,6863.85,10,7197,7717,5538,4398,2761,6708.96,6883.68,6466.59,10,6338.9,5913.98
75111,10801.99,10509.57,10426.42,11.280983,10392.12,11.156204,10787.62,11.45,10820.34,10921.38,10776.18,10954.98,11,11059,11668,9497,7694,4997,10687.9,10265.59,9865.69,11,9864.23,9457.08
75112,7281.98,7146.32,7256.88,8.940547,7568.63,9.187066,8028.2,9.68,8260.09,8354.71,8463.72,8534.44,12,7536,7187,5529,5448,3664,8387.82,8297.08,8113.28,12,8086.28,7692.07
75113,10492.7,10464.64,10867.91,10.952012,10727.64,10.936343,11291.02,11.46,11450.97,11880.03,12009,12494.84,13,10630,10302,9991,7446,4294,12254.46,12420.66,12095.55,13,12042.92,11694.25
75114,6592.99,6748.38,7299.5,9.806558,7563.56,10.047427,7983.98,10.49,8238.28,8329.83,8480.6,8519.99,14,6813,6436,5382,4947,3832,8405.74,8139.59,7887.02,14,7753.59,7413.53
75115,11163.31,10956.29,10980.72,8.436405,11073.05,8.463748,11674.79,8.84,12115.33,12204.94,12618.59,12925.51,15,11693,10627,7855,7555,5416,12557.87,12216.48,12071.31,15,11963.93,11940.6
