X,Y,objectid,insee,chom15_19,chom20_24,chom25_29,chom30_49,chom50_54,chom55_59,chom60_64,chom65pl,popact,popact1519,popact2024,popact2529,popact3049,popact5054,popact5559,popact6064,popact65pl,chom2020
640066.065200001,6805081.7108,1,91001,1.01,2.03,2.02,3.04,1.01,1.01,0,0,165.0657938,5.04417659,9.10109103,21.29214163,82.98135836,26.35378653,16.22466004,4.06857961,0,10.12
625114.834200002,6887769.1677,2,95002,1,7,4,13,5,7,3,0,546,9,44,43,300,63,70,17,5,40
615155.271399997,6825975.1229,3,78003,6.12,25.41,22.25,61.04,7.27,10.38,5.1,0,1830.427336,45.45782112,125.405812,150.742552,988.39155,246.0403905,206.4219117,67.96729848,16.59784334,137.57
657427.791599996,6847326.1863,4,94001,15.25,47.5,70.64,156.91,24.02,20.04,11.04,1.99,2968.020971,53.74398271,222.9330796,373.7969089,1605.605536,353.4395339,252.1364597,106.3654704,33.9893932,347.39
632436.2117,6875743.3732,5,78005,65.9,204.66,261.21,601.29,123.03,89.21,40.77,14.19,11357.68375,192.9673664,871.7615885,1389.05342,6067.323423,1298.861498,1146.58274,391.1337113,66.04087514,1400.26
667706.182700001,6805470.3786,6,77001,1,7,4,11,5,10,3,0,594,8,28,41,265,112,105,35,12,41
601607.088,6847521.4696,7,78006,0.96,5.82,2.92,3.88,0,7.92,2.05,0,306.1713546,5.6852442,14.66930275,13.76838959,131.774808,53.31961014,60.83916705,26.11483293,15.16103008,23.55
627886.235600002,6867216.0788,8,78007,0,8.94,4.13,14.06,5.06,9.75,0.96,2.05,490.5087467,3.9714741,29.25580335,15.27086241,217.1235878,103.3704859,94.94859833,26.56793483,14.65441037,44.95
610399.907099999,6886553.77,9,95008,1.93,7.91,0.99,12.92,2.01,2.95,5.08,0,396.0018852,5.80112549,38.43263267,34.79483014,194.0587404,50.66873154,55.12199566,17.12382931,7.01246436,33.79
657497.688199997,6855273.5007,10,94002,114.06,345.52,587.34,1742.5,298.41,275.73,124,14.36,23569.69438,346.2038303,1725.789297,3378.015334,12419.15166,2417.888385,2241.048135,1041.597735,309.1443334,3501.92
618888.2465,6819145.0158,11,78009,3,4,1,6,2,1,1,0,162,6,13,15,77,27,17,7,3,18
604764.476099998,6895309.4351,12,95011,1,4,5,8,2,1,1,0,220,3,18,25,106,32,17,19,2,22
601400.3517,6890876.1836,13,95012,0,0.99,0.99,4.95,2.97,0.99,0.99,0,108.9423077,2.97115385,8.91346154,6.93269231,54.47115385,18.81730769,12.875,3.96153846,0,11.88
709936.0788,6848364.7579,14,77002,0,2.9,3,13.57,6.05,5.18,2.04,0,388.4495859,4.85211988,22.79159316,31.02866595,199.5838728,53.81114055,56.04644859,20.33574499,4.99948272,32.74
665178.921300001,6798717.8813,15,77003,0,2.9,1.95,8.74,0.99,1.99,1.97,0,183.4315973,0.98743623,9.67339134,11.74800643,87.32071378,32.22735999,32.57305606,8.90163346,5.93954062,18.54
612785.435800001,6865961.3501,16,78013,1.04,3.08,0,5.07,3.03,2.07,0,0,231.7257363,4.02904819,11.17079139,10.1177479,129.8450042,45.82011489,23.53336785,7.20966194,3.11211997,14.29
649005.742200002,6878910.8475,17,95014,3.09,20.3,20.03,80.64,16.09,17,8.04,0,1225.61801,16.26120514,96.98176634,95.23394092,580.7354866,196.1113241,163.6372818,76.65700527,18.8959922,165.19
685752.543899998,6834922.0305,18,77004,0,0.86,0,7.79,0.92,1.85,0,0,150.4330156,4.50164433,6.35800875,13.84802552,84.32212194,14.2081618,17.37405276,9.82100053,1.84819675,11.42
630443.216700003,6876157.8781,19,78015,21.85,70.99,69.36,233.87,42.78,53.99,25.5,1.02,6615.208255,94.36493811,409.2998612,672.6096533,3569.610216,848.801161,774.9606616,245.561763,97.2434115,519.36
626271.0233,6801491.8901,20,91016,24.86,36.79,35.51,109.76,18.59,29.15,11.66,2.02,2133.422919,82.62841194,186.4163743,209.9563384,999.9099101,308.7316092,263.0882039,82.69207144,22.49292846,268.34
630568.970700003,6832701.9334,21,91017,4.09,13.38,14.54,15.59,1.05,4.24,2.07,0,852.9174737,17.4149293,59.85324803,76.44259581,442.1122624,131.8096775,93.66005582,31.62470487,1.06333051,54.96
678637.456900001,6869234.1855,22,77005,7.01,13.13,16.89,36.9,16.73,8.88,5.86,0,1713.920178,35.17701772,114.9410076,156.1934528,887.7077114,244.5251544,209.881159,65.49467548,18.25927232,105.4
648462.752899997,6850214.9059,23,92002,75.92,429.89,459.4,1226.75,180.77,269.75,204.16,34.25,31295.35305,306.0153673,2113.236511,3658.284676,16190.13757,3604.816306,3499.816647,1923.04597,625.765485,2880.89
667511.529399998,6812325.203,24,77006,2.96,3.77,8.82,12.96,4.16,6.12,1.1,0,451.978269,11.2377174,32.20052412,36.02674225,202.3102176,84.14329131,67.62447751,18.43529889,9.29546359,39.89
651086.688199997,6856356.0273,25,94003,44.07,198.89,232.2,582.02,149.71,85.78,66.86,10.3,11245.54876,146.3902729,967.8690758,1672.155792,5371.43535,1354.760157,1181.400162,551.5379549,175.7200417,1369.83
