insee,acth2006,actf2006,acth2007,actf2007,act2007,acth2008,actf2008,act2008,acth2009,actf2009,act2009,acth2010,actf2010,act2010,acth2011,actf2011,act2011,acth2012,actf2012,act2012,acth2013,actf2013,act2013,acth2014,actf2014,act2014,objectid,acth15,actf15,act2015,act2006,acthsmil99,actfhsml90,acthhsml90,actf82,acth82,act75,act2016,acth2016,actf2016,act2017,act2018,acth2018,acth2017,actf2018,actf2017,acth2019,actf2019,act2019,act2020,actf2020,acth2020
75101,5821.35321,4727.796286,5889.124947,4827.844648,10716.969595,5808.529516,4802.218423,10610.747939,5993.13679,4837.557037,10830.693827,5864.27,4849.38,10713.64,5907.21,4855.81,10763.02,5771.7,4647.02,10418.72,5597.60306927,4578.27537022,10175.8784395,5318.736207,4447.570511,9766.306718,1,5194.62776569,4316.68711216,9511.31487785,10549,9882,4793,5609,4712,5332,12513,9408.2953372,5146.61106343,4261.68427377,9410.27647421,9383.06,5052.7,5103.425781,4330.35,4306.850693,5026.043199,4281.597199,9307.640398,9618.707823,4402.304161,5216.403662
75102,7496.45331,6084.853653,7685.373331,6302.128522,13987.501853,7696.677583,6293.261423,13989.939006,7946.639505,6438.778957,14385.418462,8227.72,6545.67,14773.4,8054.47,6676.26,14730.73,7841.17,6682.39,14523.56,7698.65684825,6565.25261509,14263.9094633,7648.541106,6577.472376,14226.013482,2,7365.75951962,6593.92183679,13959.6813564,13581,11921,5350,6610,5153,6240,15084,13669.4827703,7330.84697727,6338.63579303,14213.1561387,14426.69,7748.33,7706.911729,6678.36,6506.24441,7781.744998,6708.445899,14490.1909,14190.13335,6641.506783,7548.626572
75103,11404.143046,9841.992874,11275.740579,9976.892507,21252.633086,11534.182196,10072.369772,21606.551968,11809.065759,10360.874498,22169.940257,11972.16,10470.9,22443.06,12022.3,10699.84,22722.14,12073.26,10598.45,22671.71,11996.1991603,10477.4413308,22473.6404911,11767.852937,10452.826544,22220.679481,3,11600.971391,10439.1997336,22040.1711246,21246,20117,9209,10500,8756,10574,22679,21842.2527116,11436.1613746,10406.091337,21528.4277864,21377.49,11028.26,11290.200527,10349.22,10238.227259,10995.92862,10320.91429,21316.84292,20904.59854,10151.47774,10753.1208
75104,8628.302,8204.281639,8488.72376,8107.959578,16596.683338,8357.725393,7902.570042,16260.295435,8523.20475,7900.392948,16423.597698,8574.32,7902.69,16477.01,8488.28,7849.82,16338.1,8530.55,7759.09,16289.64,8289.02732603,7757.13116603,16046.1584921,8147.561405,7693.502842,15841.064247,4,8212.74337269,7759.41231254,15972.1556852,16833,17126,8451,9050,8490,9556,21415,16141.1450496,8203.8298468,7937.31520277,16588.1918941,16954.62,8615.32,8352.396413,8339.3,8235.795481,8686.595124,8424.261707,17110.85683,17036.13845,8328.800936,8707.337511
75105,15644.065392,15979.645629,16112.839641,16378.949934,32491.789575,16024.499507,16295.442518,32319.942025,16007.29351,15972.896097,31980.189607,15714.28,16011.77,31726.05,15915.88,16205.17,32121.06,15531.48,16218.8,31750.28,15504.4452958,16354.8827394,31859.3280351,15325.969441,16363.132563,31689.102004,5,15390.4758352,16062.0910402,31452.5668754,31624,29445,16006,15507,15732,15818,33505,30804.8529535,15032.1403866,15772.7125669,30405.9594531,30058.59,14779.21,14897.502592,15279.39,15508.456862,14700.02919,15256.96926,29956.99846,29518.88089,15045.85948,14473.02141
75106,10708.018368,11275.533428,10652.461271,11485.897362,22138.358633,10524.210643,11204.682228,21728.892871,10340.861871,11084.830777,21425.692648,10448.78,11094.69,21543.48,10654.28,11227.47,21881.75,10476.38,11056.52,21532.9,10489.4531597,11140.8149562,21630.2681159,10317.22733,11049.654127,21366.881457,6,10265.8669802,10919.6129331,21185.4799133,21984,21271,11690,11651,11922,12031,27435,20294.4011837,9763.59203139,10530.8091523,20311.339398,20092.32,9672.58,9720.812633,10419.74,10590.526765,9550.342811,10375.63082,19925.97364,19496.94703,10311.95699,9184.990045
75107,14730.103373,13938.216527,14732.263414,14221.560883,28953.824297,14658.793939,14274.525895,28933.319834,14885.120702,14435.172602,29320.293304,15102,14631.25,29733.25,14942.53,14799.89,29742.42,14853.73,14622.88,29476.61,14751.1180098,14503.5262334,29254.6442433,14476.708541,14473.44867,28950.157211,7,14183.6380741,14180.5865126,28364.2245866,28668,27125,14707,15337,15522,16420,36250,27598.3068131,13909.4287647,13688.8780485,26874.6542422,26280.08,13084.77,13440.072767,13195.3,13434.581475,12719.30952,12801.94439,25521.25391,25179.25201,12640.37964,12538.87237
75108,10810.250736,9886.85312,10691.158244,9999.73783,20690.896074,10548.58211,9864.358791,20412.940901,10988.186116,10400.918971,21389.105087,11307.68,10663.07,21970.75,11079.22,10679.51,21758.73,10624.57,10375.65,21000.22,10704.2090111,10670.6526561,21374.8616672,10399.624301,10297.629895,20697.254197,8,10109.00152,10061.4877198,20170.4892398,20697,20306,9829,10648,10867,12193,28080,20003.1539467,10004.0732763,9999.08067047,20292.0887591,20064.82,9998.95,10087.555198,10065.87,10204.533561,9879.557365,9941.875772,19821.43314,19771.66657,9953.077261,9818.589312
75109,17890.075506,17125.011749,17915.299004,17281.524366,35196.82337,18195.614566,17364.543884,35560.15845,18382.631177,17946.751674,36329.382851,18482.56,18007.43,36489.99,18580.29,17983.32,36563.61,18381.2,17983.52,36364.72,18138.1882181,18230.4183369,36368.606555,18197.457059,18307.833237,36505.290296,9,18205.36978,18463.3529971,36668.7227771,35015,31449,14934,16345,15464,18847,37295,36867.124544,18157.0058231,18710.1187209,36880.4782689,37454.81,18663.89,18338.804347,18790.91,18541.673922,18745.4599,18888.22587,37633.68576,37721.28418,18971.76685,18749.51733
75110,29789.732166,25362.140343,30127.017585,26144.200621,56271.218206,30438.066949,26681.046187,57119.113136,31098.219801,27285.114768,58383.334569,30962.71,27322.92,58285.63,30252.63,27091.35,57343.98,30409.27,27247.75,57657.02,29739.6572343,26690.2778426,56429.9350769,29459.044951,26682.138986,56141.183937,10,29084.3146643,26685.357472,55769.6721363,55152,50839,22382,27190,20175,26123,50475,55910.5194253,29160.1458741,26750.3735512,55032.8891132,53884.32,27814.7,28481.54663,26069.62,26551.342483,27359.90386,25395.24697,52755.15083,50914.15701,24451.63559,26462.52141
