X,Y,objectid,insee,actagr,actartcfen,actcadre,actproint,actemplo,actouvri,actifs
640066.065200001,6805081.7108,1,91001,0,25.38,35.47,50.63,45.61,25.31,182.4
625114.834200002,6887769.1677,2,95002,0,5,165,185,115,80,550
615155.271399997,6825975.1229,3,78003,30.13,76.26,336.77,541.18,401.6,265.84,1651.78
657427.791599996,6847326.1863,4,94001,0,106.31,498.12,770.36,876.98,480.35,2732.12
632436.2117,6875743.3732,5,78005,0,270.23,2358.24,2693.99,3086.1,1622.91,10031.47
667706.182700001,6805470.3786,6,77001,5,80,180,165,120,45,595
601607.088,6847521.4696,7,78006,0,29.91,119.38,43.7,88.51,34.15,315.65
627886.235600002,6867216.0788,8,78007,4.96,84.89,237.11,80.69,30.09,9.78,447.52
610399.907099999,6886553.77,9,95008,0,29.5,48.86,93.77,104.2,74.71,351.04
657497.688199997,6855273.5007,10,94002,0,1076.95,5459.25,5549.2,5466.77,2803.01,20355.18
618888.2465,6819145.0158,11,78009,5,15,10,40,25,45,140
604764.476099998,6895309.4351,12,95011,0,15,25,70,45,15,170
601400.3517,6890876.1836,13,95012,0,9.9,9.9,34.66,29.71,9.9,94.07
709936.0788,6848364.7579,14,77002,20.36,25.15,49.61,98.55,98.84,53.5,346.01
665178.921300001,6798717.8813,15,77003,10.02,24.47,19.53,43.71,24.48,39.28,161.49
612785.435800001,6865961.3501,16,78013,0,20.23,54.66,65.97,45.05,25.42,211.33
649005.742200002,6878910.8475,17,95014,0,125.51,321.99,311.39,195.91,145.6,1100.4
685752.543899998,6834922.0305,18,77004,9.32,8.94,34.02,32.11,41.35,23.48,149.22
630443.216700003,6876157.8781,19,78015,6.46,266.43,2099.64,1831.61,1375.38,612.56,6192.08
626271.0233,6801491.8901,20,91016,9.82,99.62,240.36,606.72,438.24,478.94,1873.7
630568.970700003,6832701.9334,21,91017,14.76,66.71,214.15,302.14,135.2,71.71,804.67
678637.456900001,6869234.1855,22,77005,0,104.96,316.26,552.34,419.81,214.99,1608.36
648462.752899997,6850214.9059,23,92002,6.46,1221.24,14255.66,6700.01,5087.83,1774.02,29045.22
667511.529399998,6812325.203,24,77006,0,39.9,100.06,129.42,136.41,61.54,467.33
651086.688199997,6856356.0273,25,94003,0,392.87,3361,2647.83,2494.21,1158.16,10054.07
644365.107799999,6872663.7649,26,95018,6.95,2514.9,8499.22,11359.81,12961.28,9106.12,44448.28
690486.147699997,6839102.3499,27,77007,0,5.01,40.19,74.96,39.78,34.58,194.52
701206.602799997,6875660.4703,28,77008,0,20.04,89.98,144.94,109.41,70.02,434.39
657339.811499998,6876397.4011,29,95019,0,489.8,660.68,1305.45,1876.75,1293.71,5626.39
606200.802299999,6868646.2757,30,78020,19.13,37.15,98.84,150.06,88.84,51.22,445.24
644243.1294,6832499.0041,31,91021,0,187.04,1050.29,1463.73,1358.92,1007.59,5067.57
637069.942100003,6803297.1197,32,91022,10,0,15,30,10,0,65
635351.342299998,6897567.155,33,95023,0,19.5,34.64,128.36,54.33,24.54,261.37
612136.740599997,6889043.3726,34,95024,4.91,24.57,25.51,50.91,24.92,20,150.82
667041.886200003,6786840.7757,35,77009,9.21,9.21,4.61,9.21,13.82,18.43,64.49
654721.286700003,6893624.0767,36,95026,0,70,390,505,395,235,1595
647803.979900002,6868672.2967,37,92004,9.73,2246.93,18461.26,10119.62,8902.73,3595.23,43335.5
654874.357299998,6845634.5031,38,91027,9.95,852.65,2588.21,4156.97,4986.02,3265.73,15859.53
652548.760499999,6884696.5689,39,95028,13.97,44.21,156.07,285.43,208.5,111.05,819.23
692883.236599997,6835535.1652,40,77010,15.22,25.36,61.4,158.23,143.26,107.07,510.54
615762.463200003,6874254.1829,41,78029,3.98,167.71,735.08,1515.88,1677.43,1068.12,5168.2
654889.306999996,6868230.7302,42,93001,11.35,1967.38,4396.36,6693.85,12034.91,9908.23,35012.08
619238.827399999,6843229.2162,43,78030,0,39.65,330.23,232.54,165.14,85.19,852.75
670374.332000002,6789465.7736,44,77011,10,25,25,80,75,30,245
605184.246200003,6873518.2498,45,78031,0,20.13,65.05,100.08,54.69,34.73,274.68
725963.0233,6840798.5426,46,77012,0,9.77,24.6,24.72,29.79,9.78,98.66
